,title,company,place,salary,publish_time
96,X贝壳平台-链家品牌-房产销售代表,贝壳找房沈阳站,沈阳-大东区,6-8千/月,03-31
97,信息采集员（无工作经验要求）,武汉恒丰金锐信息科技有限公司,武汉-洪山区,3-4.5千/月,03-31
98,销售策略分析,哥弟—广州集集时尚服装有限公司,广州-天河区,1-1.5万/月,03-31
99,生物信息工程师,广州市联兆基因科技有限公司,广州-海珠区,15-16万/年,03-31
100,算法工程师（研发工程师）,思澜科技（成都）有限公司,成都-高新区,0.8-1.5万/月,03-31
101,微淘运营,上海可得光学科技有限公司,上海-普陀区,4.5-6千/月,03-31
102,算法分析师,江西航天鄱湖云科技有限公司,南昌,0.8-1万/月,03-31
103,生物信息分析工程师,云康健康产业集团有限公司,广州,1-1.8万/月,03-31
104,生物信息算法工程师,深圳爱米基因科技有限责任公司,深圳-南山区,2-3万/月,03-31
105,风控分析（实习生）,江苏紫鑫投资管理有限公司（私募基...,异地招聘,80元/天,03-31
106,数据科学家,普源精电科技股份有限公司,苏州-高新区,3-5万/月,03-31
107,AI Leader,上海略卿企业管理咨询中心,上海,3-5万/月,03-31
108,销售总监,义乌市恒信职业技能培训学校,义乌,2-3.5万/月,03-31
109,Java开发工程师,北京澎湃信用管理有限公司,北京-朝阳区,0.8-3万/月,03-31
110,房产经纪人（高潜储备生）（长春）,贝壳找房（北京）科技有限公司,长春,,03-31
111,大数据平台架构师（央企）,大唐广电科技（武汉）有限公司,武汉-武汉经济...,1.5-2.5万/月,03-31
112,产品运营,杭州天谷信息科技有限公司,杭州-西湖区,2.5-4万/月,03-31
113,销售顾问（大数据销售方向）,神州数码（中国）有限公司,北京-海淀区,,03-31
114,助理数据分析师（实习）,上海神州数码有限公司,上海-长宁区,4-6千/月,03-31
115,数据开发工程师(014231),武汉神州数码有限公司,武汉-江夏区,1.5-2.5万/月,03-31
116,数据分析实习生(014671),神州数码（合肥）有限公司,北京,4.5-6千/月,03-31
117,数据分析师,如祺出行,广州-海珠区,1-1.5万/月,03-31
118,数据分析经理,山东澳威企业管理咨询有限公司,济南-历城区,6-8千/月,03-31
119,数据分析师,广州谷沃信息科技有限公司,厦门,2-2.5万/月,03-31
120,行业研究员（上海研究院）,中基宁波集团股份有限公司,异地招聘,5-8千/月,03-31
121,大数据开发工程师,广东鑫捷供应链信息技术有限公司,东莞-大朗镇,1.5-2万/月,03-31
122,投资助理,上海复容投资有限公司,上海-浦东新区,6-8千/月,03-31
123,大数据分析,青岛乾璟昶盛信息服务有限公司,青岛-市北区,6-8千/月,03-31
124,Support Expert 技术支持工程师/Database,法国Questel SAS,上海-浦东新区,1-1.2万/月,03-31
125,数据稽核 / 运营专员,福州美莱华美美容医院有限公司,福州-晋安区,4-6千/月,03-31
126,用户运营专员,南京康轩文教图书有限公司,南京-鼓楼区,0.8-1万/月,03-31
127,数据分析师,嘉饶（上海）网络科技有限公司,上海-徐汇区,0.8-1万/月,03-31
128,大数据开发工程师,苍穹数码技术股份有限公司武汉技术...,武汉-东湖新技...,0.8-1万/月,03-31
129,自然语言处理工程师(NLP),北京影研创新科技发展有限公司,北京-朝阳区,2-3.5万/月,03-31
130,数据分析师,重庆商勤科技有限公司,重庆-江北区,1-2万/月,03-31
131,市场策划主管/经理,上海锐嘉科实业有限公司,上海-青浦区,0.8-1.2万/月,03-31
132,数据工程师,深圳格隆汇信息科技有限公司,深圳-南山区,1.5-2.5万/月,03-31
133,数据分析实习生,广州小鹏汽车科技有限公司,广州-天河区,180元/天,03-31
134,技术总监（手游发行）,上海简玩网络科技有限公司,上海-浦东新区,2.5-3万/月,03-31
135,NLP算法工程师,北京双泽维度信息技术有限公司,北京-朝阳区,1.2-2.4万/月,03-31
136,数学建模（欢迎应届生）,深圳市天软科技开发有限公司,北京-西城区,2.5-5.5千/月,03-31
