,title,company,place,salary,publish_time
7702,催收专员,上海数禾信息科技有限公司,重庆-渝北区,4-6千/月,10-08
7703,还呗-贷后催收专员,上海数禾信息科技有限公司,重庆-渝北区,4-6千/月,10-08
7704,电话催收专员,交银企业管理服务（上海）有限公司...,西安-雁塔区,6-8千/月,10-08
7705,交行催收专员（浑南区）,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,4-8千/月,10-08
7706,银行催收专员（月薪过万）,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,0.5-1.1万/月,10-08
7707,1电话催收专员（高薪）,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,0.5-1.1万/月,10-08
7708,催收专员（五险一金）,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,0.5-1万/月,10-08
7709,银行催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,0.7-1.8万/月,10-08
7710,催收专员4K+,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,4.5-6千/月,10-08
7711,电话催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,4.5-6千/月,10-08
7712,催收专员+五险+包住,合肥华拓金融服务外包有限公司,合肥-包河区,1-1.5万/月,10-08
7713,广发，浦发，中信银行催收专员,合肥华拓金融服务外包有限公司,合肥-包河区,6-8千/月,10-08
7714,催收专员+五险+包住,合肥华拓金融服务外包有限公司,合肥-包河区,1-1.5万/月,10-08
7715,催收专员急聘+S1内催+月薪10K,新银咨询,武汉-硚口区,0.8-1万/月,10-08
7716,保底7000唯渡金融前端S1催收专员入职五险一金,合肥百会司企业管理咨询有限公司,合肥-蜀山区,0.6-1万/月,10-07
7717,高级催收专员入职五险一金10K+（固定休）,合肥百会司企业管理咨询有限公司,合肥-滨湖新区,0.6-1.2万/月,10-07
7718,明珠广场催收专员固定单休+月薪过万,合肥百会司企业管理咨询有限公司,合肥-经开区,6-8千/月,10-07
7719,月薪过万催收专员,万年春商务咨询,上海-浦东新区,0.8-1万/月,10-07
7720,催收专员,万年春商务咨询,上海-浦东新区,6-8千/月,10-07
7721,交行信用卡M2催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
7722,信用卡逾期催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
7723,交行信用卡催收专员M2,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
7724,催收专员/内催/信用卡,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
7725,催收专员/银行/稳定/新职场,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,6-8千/月,10-07
7726,电话催收专员,深圳市煜融通信息服务有限公司,深圳-罗湖区,0.8-1万/月,10-07
7727,高碑店站：双休/催收专员6k-12k,南京亿咖科技有限公司,北京-朝阳区,0.6-1.2万/月,10-06
7728,催收专员/风险控制/6k-12k+双休,南京亿咖科技有限公司,北京-朝阳区,0.6-1.2万/月,10-06
7729,双休：催收专员/逾期提醒人均6-8k,南京亿咖科技有限公司,北京-朝阳区,0.5-1.2万/月,10-06
7730,双休：银行信用卡催收专员5k-8k,南京亿咖科技有限公司,深圳-南山区,5-8千/月,10-06
7731,高碑店站：双休/逾期催收专员,南京亿咖科技有限公司,北京-朝阳区,0.5-1.5万/月,10-06
7732,周末双休：电话催收专员/薪资6-8k,南京亿咖科技有限公司,武汉-洪山区,0.5-1.2万/月,10-06
7733,（月休8天）催收专员5k--8k,南京亿咖科技有限公司,西安-雁塔区,0.5-1.2万/月,10-06
7734,电话催收专员：6000-12000,南京亿咖科技有限公司,北京-朝阳区,0.6-1.2万/月,10-06
7735,高碑店站：催收专员6000-12000,南京亿咖科技有限公司,北京-朝阳区,0.6-1.2万/月,10-06
7736,逾期提醒/催收专员：5k-12k,南京亿咖科技有限公司,合肥-滨湖新区,0.6-1.2万/月,10-06
7737,高碑店站：催收专员,南京亿咖科技有限公司,北京-朝阳区,0.6-1.2万/月,10-06
7738,周末双休：催收专员6000-15000,南京亿咖科技有限公司,深圳-福田区,0.6-1.5万/月,10-06
7739,岳麓区：催收专员/底薪3900+双休,南京亿咖科技有限公司,长沙-岳麓区,0.6-1.5万/月,10-06
7740,催收专员：6000-10000,南京亿咖科技有限公司,合肥-滨湖新区,0.6-1万/月,10-06
7741,月休八天：催收专员：6000-10000,南京亿咖科技有限公司,合肥-滨湖新区,0.6-1万/月,10-06
