,title,company,place,salary,publish_time
805,催收专员/提成+双休+餐补/软件园+金融港,武汉东海之光国际旅行社有限公司,武汉-洪山区,0.8-1万/月,11-25
806,催收专员/提成+双休+餐补/软件园+金融港,武汉东海之光国际旅行社有限公司,武汉-洪山区,0.8-1万/月,11-25
807,关山大道/银行电话催收/五险一金/8K+,武汉东海之光国际旅行社有限公司,武汉-东湖新技...,6-8千/月,11-25
808,电话催收/电话销售/客服专员/双休/月薪10k,武汉市泰信捷资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
809,信用卡催收专员,深圳通联金融网络科技服务有限公司...,武汉-洪山区,4.5-6千/月,11-25
810,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
811,高薪电话催收专员/预催收M0低期+提成高/均薪7K+双休,武汉市优信捷信息科技有限公司,武汉-东湖新技...,0.8-1万/月,11-25
812,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
813,电话催收专员/6K-8K/大小周/五险一金,武汉市精英网络科技有限公司,武汉-洪山区,6-8千/月,11-25
814,信贷电话催收，内催M0-M1（均薪7000+双休）/金融港,武汉市优信捷信息科技有限公司,武汉-洪山区,6-8千/月,11-25
815,小贷催收专员/M1低期好回款/均薪7K+/入职交社保,武汉市优信捷信息科技有限公司,武汉-洪山区,0.8-1万/月,11-25
816,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
817,信用卡催收专员,上海一诺银华服务外包有限公司,武汉-武昌区,6-8千/月,11-25
818,朝九晚六催收专员,上海一诺银华服务外包有限公司,武汉-武昌区,6-8千/月,11-25
819,电话催收专员,上海一诺银华服务外包有限公司,武汉-武昌区,0.8-1万/月,11-25
820,信用卡催收专员无加班,上海一诺银华服务外包有限公司,武汉-武昌区,0.8-1万/月,11-25
821,催收专员双休无加班,上海一诺银华服务外包有限公司,武汉-武昌区,0.8-1万/月,11-25
822,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
823,美资外企金融业务员,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
824,银行内勤客服,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
