,title,company,place,salary,publish_time
556,电话催收无责底薪3500+高提成,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
557,电话催收高提成+五险,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
558,光谷创业街高薪诚聘催收专员,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
559,电话催收无责底薪3300+高提成,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
560,高薪诚聘电话催收朝九晚六+五险,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
561,高薪诚聘催收专员,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
562,电话催收无责3500高提成加五险,武汉汇十资产管理有限公司,武汉-洪山区,0.8-1万/月,11-25
563,电话客服（非销售性质）天安云谷,杭州德臻信息咨询服务有限公司深圳...,深圳-龙岗区,0.6-1.2万/月,11-25
564,诚聘电话销售（高薪8000 五险 提供住宿）,武汉云兮智慧科技有限公司,武汉-江夏区,0.8-1万/月,11-25
565,电话客服双休月薪8000以上,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
566,催收专员+社保+高薪提成+地铁口,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
567,销售高底薪提成+社保,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
568,电话客服专员,深圳市深创联金融服务有限公司武汉...,武汉,4-6千/月,11-25
569,电话客服专员8K-20K,深圳市深创联金融服务有限公司武汉...,武汉,0.8-2万/月,11-25
570,信用管理顾问（福利待遇优+地铁口）,深圳市深创联金融服务有限公司武汉...,武汉,0.8-2万/月,11-25
571,银行贷后专员（高底薪+地铁口）,深圳市深创联金融服务有限公司武汉...,武汉,0.8-2万/月,11-25
572,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-25
573,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-25
574,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-24
575,光大银行信用卡催收专员c,小绵羊（广州）信息科技有限公司,广州-白云区,1-1.5万/月,11-24
576,中信银行底薪四千催收客服+销售代表,合肥雅诚电子科技有限公司,合肥-滨湖新区,6-8千/月,11-23
577,急招中信银行催收客服/销售代表六千+,合肥雅诚电子科技有限公司,合肥-庐阳区,6-8千/月,11-23
578,交通银行底薪四千催收客服+销售代表,合肥雅诚电子科技有限公司,合肥-滨湖新区,6-8千/月,11-23
579,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
580,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
581,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
582,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
583,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
584,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
585,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
586,兴业银行双休催收客服6千+五险一金,安徽恩驰信息科技有限公司,合肥-滨湖新区,6-8千/月,11-23
587,电话催收客服 五险+朝九晚六,深圳通联金融网络科技服务有限公司...,长沙-岳麓区,0.6-1.2万/月,11-23
588,客服专员金融催收D/莞城,深圳市拓才信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
589,客服专员金融催收D/莞城,深圳市拓才信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
590,客服专员金融催收D/莞城,深圳市拓才信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
591,客服专员金融催收D/莞城,深圳市拓才信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
592,客服专员金融催收D/莞城,深圳市拓才信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
593,客服助理/专员金融催收D,深圳市拓才信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
594,客服专员/助理金融客服催收D,深圳市谨言信息产业有限公司,东莞-石排镇,4.5-6千/月,11-23
595,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
596,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
597,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
598,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
599,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
600,客服专员客服/助理/金融客服催收D,深圳市谨言信息产业有限公司,东莞-莞城区,4.5-6千/月,11-23
