,title,company,place,salary,publish_time
145,大数据挖掘建模工程师,普联软件股份有限公司新疆分公司,乌鲁木齐,0.8-1万/月,03-31
146,数据挖掘工程师,广州中芯国信科技有限公司,广州-天河区,0.6-1.2万/月,03-30
147,高级数据挖掘工程师,央视市场研究股份有限公司,北京-西城区,2-3万/月,03-30
148,数据挖掘工程师,广州奇异果科技有限公司,广州-海珠区,2-5万/月,03-30
149,数据挖掘专家,广东优品智学教育科技有限公司,广州-天河区,1.5-3万/月,03-30
150,数据挖掘（NLP方向）,博拉网络股份有限公司,重庆,0.6-1.2万/月,03-30
151,大数据挖掘(NLP),广汽蔚来新能源汽车科技有限公司,广州-南沙区,2.5-3万/月,03-30
152,数据挖掘工程师,沈阳华信教育科技有限公司,沈阳-浑南区,0.8-1万/月,03-30
153,数据挖掘分析师（python方向）,南京莱斯网信技术研究院,南京-秦淮区,1-2万/月,03-30
154,数据挖掘工程师,广州市茶滘置业发展有限公司,广州-荔湾区,6-8千/月,03-30
155,数据挖掘工程师,浙江银江研究院有限公司,杭州-西湖区,0.7-1.5万/月,03-30
156,算法工程师（数据挖掘）,北京清能互联科技有限公司,北京-海淀区,20-30万/年,03-30
157,算法工程师（数据挖掘）,清华大学,北京-海淀区,20-30万/年,03-30
158,数据挖掘工程师,浙江托普云农科技股份有限公司,杭州-拱墅区,1.5-2万/月,03-30
159,数据挖掘和分析工程师,深圳乐播科技有限公司,深圳-南山区,2-3.5万/月,03-30
160,数据挖掘工程师(J10257),医渡云（北京）技术有限公司,上海-徐汇区,1-1.5万/月,03-30
161,数据挖掘助理工程师,北京众标智能科技有限公司,上海-宝山区,0.6-1万/月,03-30
162,电商数据挖掘工程师,蓝色光标-欧泰谱（CRM营销服务）,上海-黄浦区,1-1.5万/月,03-30
163,数据挖掘开发工程师,广州亿力咨询服务有限公司,广州-天河区,0.6-1.2万/月,03-30
164,数据挖掘工程师,上海纯米电子科技有限公司,上海-浦东新区,1-2万/月,03-30
165,数据分析/数据挖掘专家,上海帝博企业管理咨询有限公司,常熟,2-2.5万/月,03-30
166,数据挖掘工程师,上海联恩贸易发展有限公司,上海-徐汇区,0.8-1.6万/月,03-30
167,数据挖掘工程师,深圳市前海云途物流有限公司,深圳-龙岗区,1.8-3万/月,03-30
168,"高级Java工程师( 大数据,数据挖掘)(TJ0010)",万得信息技术股份有限公司（Wind资...,上海-浦东新区,20-30万/年,03-30
169,大数据部-数据挖掘工程师,长春市博鸿科技服务有限责任公司,长春-高新技术...,1-2万/月,03-30
170,数据挖掘工程师,深圳市赛纳电子科技有限公司,深圳-龙华新区,1.5-2.5万/月,03-30
171,数据挖掘工程师,深圳市微队信息技术有限公司,深圳-南山区,0.8-1.5万/月,03-30
172,数据挖掘经理（金融科技）,交银企业管理服务（上海）有限公司...,上海-长宁区,20-40万/年,03-30
173,大数据挖掘工程师,深圳市巨龙科教网络有限公司,郑州-高新区,0.8-1.2万/月,03-30
174,大数据开发/数据挖掘/数据分析工程师（人才培养）,上海海笛数字出版科技有限公司,上海-浦东新区,4.5-6千/月,03-30
175,数据挖掘工程师,北谷电子有限公司,济南-高新区,0.9-1.8万/月,03-30
176,CSIG16-地图大数据挖掘工程师,深圳市腾讯计算机系统有限公司,北京,,03-30
177,机器学习/数据挖掘/自然语言处理工程师,百度在线网络技术（北京）有限公司...,北京-海淀区,1-1.5万/月,03-30
178,数据挖掘工程师,上海班富电子商务有限公司,上海-黄浦区,1.5-2.5万/月,03-30
179,大数据挖掘与分析岗,五矿证券有限公司,深圳,1.5-2.5万/月,03-29
180,0331K8-数据挖掘岗,中国平安财产保险股份有限公司,深圳-福田区,40-50万/年,03-29
181,数据挖掘工程师,益客集团,南京,1.2-1.8万/月,03-29
